Year;Date;Month;Region;Ocurrence
1985;01-01-1985;MAYO;VII;0
1985;01-01-1985;MAYO;VIII;0
1985;01-01-1985;MAYO;IX;0
1985;01-01-1985;MAYO;XIV;0
1985;01-01-1985;MAYO;X;0
1985;01-01-1985;MAYO;XI;0
1985;01-01-1985;MAYO;XII;0
1985;01-01-1985;JUNIO;III;0
1985;01-01-1985;JUNIO;IV;0
1985;01-01-1985;JUNIO;V;0
1985;01-01-1985;JUNIO;RM;0
1985;01-01-1985;JUNIO;VI;0
1985;01-01-1985;JUNIO;VII;0
1985;01-01-1985;JUNIO;VIII;0
1985;01-01-1985;JUNIO;IX;0
1985;01-01-1985;JUNIO;XIV;0
1985;01-01-1985;JUNIO;X;0
1985;01-01-1985;JUNIO;XI;0
1985;01-01-1985;JUNIO;XII;0
1986;01-01-1986;JULIO;III;0
1986;01-01-1986;JULIO;IV;0
1986;01-01-1986;JULIO;V;0
1986;01-01-1986;JULIO;RM;0
1986;01-01-1986;JULIO;VI;0
1986;01-01-1986;JULIO;VII;0
1986;01-01-1986;JULIO;VIII;0
1986;01-01-1986;JULIO;IX;0
1986;01-01-1986;JULIO;XIV;0
1986;01-01-1986;JULIO;X;0
1986;01-01-1986;JULIO;XI;0
1986;01-01-1986;JULIO;XII;0
1986;01-01-1986;AGOSTO;III;0
1986;01-01-1986;AGOSTO;IV;0
1986;01-01-1986;AGOSTO;V;0
1986;01-01-1986;AGOSTO;RM;0
1986;01-01-1986;AGOSTO;VI;0
1986;01-01-1986;AGOSTO;VII;0
1986;01-01-1986;AGOSTO;VIII;0
1986;01-01-1986;AGOSTO;IX;0
1986;01-01-1986;AGOSTO;XIV;0
1986;01-01-1986;AGOSTO;X;0
1986;01-01-1986;AGOSTO;XI;0
1986;01-01-1986;AGOSTO;XII;1
1986;01-01-1986;SEPTIEMBRE;III;0
1986;01-01-1986;SEPTIEMBRE;IV;0
1986;01-01-1986;SEPTIEMBRE;V;0
1986;01-01-1986;SEPTIEMBRE;RM;0
1986;01-01-1986;SEPTIEMBRE;VI;0
1986;01-01-1986;SEPTIEMBRE;VII;0
1986;01-01-1986;SEPTIEMBRE;VIII;0
1986;01-01-1986;SEPTIEMBRE;IX;0
1986;01-01-1986;SEPTIEMBRE;XIV;0
1986;01-01-1986;SEPTIEMBRE;X;0
1986;01-01-1986;SEPTIEMBRE;XI;0
1986;01-01-1986;SEPTIEMBRE;XII;0
1986;01-01-1986;OCTUBRE;III;0
1986;01-01-1986;OCTUBRE;IV;1
1986;01-01-1986;OCTUBRE;V;2
1986;01-01-1986;OCTUBRE;RM;0
1986;01-01-1986;OCTUBRE;VI;0
1986;01-01-1986;OCTUBRE;VII;2
1986;01-01-1986;OCTUBRE;VIII;1
1986;01-01-1986;OCTUBRE;IX;0
1986;01-01-1986;OCTUBRE;XIV;2
1986;01-01-1986;OCTUBRE;X;10
1986;01-01-1986;OCTUBRE;XI;2
1986;01-01-1986;OCTUBRE;XII;2
1986;01-01-1986;NOVIEMBRE;III;0
1986;01-01-1986;NOVIEMBRE;IV;17
1986;01-01-1986;NOVIEMBRE;V;143
1986;01-01-1986;NOVIEMBRE;RM;55
1986;01-01-1986;NOVIEMBRE;VI;5
1986;01-01-1986;NOVIEMBRE;VII;6
1986;01-01-1986;NOVIEMBRE;VIII;39
1986;01-01-1986;NOVIEMBRE;IX;4
1986;01-01-1986;NOVIEMBRE;XIV;14
1986;01-01-1986;NOVIEMBRE;X;22
1986;01-01-1986;NOVIEMBRE;XI;15
1986;01-01-1986;NOVIEMBRE;XII;4
1986;01-01-1986;DICIEMBRE;III;0
1986;01-01-1986;DICIEMBRE;IV;0
1986;01-01-1986;DICIEMBRE;V;381
1986;01-01-1986;DICIEMBRE;RM;140
1986;01-01-1986;DICIEMBRE;VI;36
1986;01-01-1986;DICIEMBRE;VII;63
1986;01-01-1986;DICIEMBRE;VIII;237
1986;01-01-1986;DICIEMBRE;IX;123
1986;01-01-1986;DICIEMBRE;XIV;43
1986;01-01-1986;DICIEMBRE;X;67
1986;01-01-1986;DICIEMBRE;XI;16
1986;01-01-1986;DICIEMBRE;XII;5
1986;01-01-1986;ENERO;III;1
1986;01-01-1986;ENERO;IV;31
1986;01-01-1986;ENERO;V;299
1986;01-01-1986;ENERO;RM;151
1986;01-01-1986;ENERO;VI;97
1986;01-01-1986;ENERO;VII;150
1986;01-01-1986;ENERO;VIII;613
1986;01-01-1986;ENERO;IX;248
1986;01-01-1986;ENERO;XIV;95
1986;01-01-1986;ENERO;X;98
1986;01-01-1986;ENERO;XI;16
1986;01-01-1986;ENERO;XII;10
1986;01-01-1986;FEBRERO;III;1
1986;01-01-1986;FEBRERO;IV;41
1986;01-01-1986;FEBRERO;V;131
1986;01-01-1986;FEBRERO;RM;121
1986;01-01-1986;FEBRERO;VI;51
1986;01-01-1986;FEBRERO;VII;134
1986;01-01-1986;FEBRERO;VIII;407
1986;01-01-1986;FEBRERO;IX;140
1986;01-01-1986;FEBRERO;XIV;41
1986;01-01-1986;FEBRERO;X;72
1986;01-01-1986;FEBRERO;XI;9
1986;01-01-1986;FEBRERO;XII;8
1986;01-01-1986;MARZO;III;6
1986;01-01-1986;MARZO;IV;22
1986;01-01-1986;MARZO;V;94
1986;01-01-1986;MARZO;RM;154
1986;01-01-1986;MARZO;VI;39
1986;01-01-1986;MARZO;VII;50
1986;01-01-1986;MARZO;VIII;353
1986;01-01-1986;MARZO;IX;121
1986;01-01-1986;MARZO;XIV;5
1986;01-01-1986;MARZO;X;2
1986;01-01-1986;MARZO;XI;14
1986;01-01-1986;MARZO;XII;0
1986;01-01-1986;ABRIL;III;1
1986;01-01-1986;ABRIL;IV;0
1986;01-01-1986;ABRIL;V;55
1986;01-01-1986;ABRIL;RM;35
1986;01-01-1986;ABRIL;VI;18
1986;01-01-1986;ABRIL;VII;10
1986;01-01-1986;ABRIL;VIII;5
1986;01-01-1986;ABRIL;IX;2
1986;01-01-1986;ABRIL;XIV;0
1986;01-01-1986;ABRIL;X;0
1986;01-01-1986;ABRIL;XI;12
1986;01-01-1986;ABRIL;XII;0
1986;01-01-1986;MAYO;III;0
1986;01-01-1986;MAYO;IV;0
1986;01-01-1986;MAYO;V;0
1986;01-01-1986;MAYO;RM;0
1986;01-01-1986;MAYO;VI;0
1986;01-01-1986;MAYO;VII;0
1986;01-01-1986;MAYO;VIII;0
1986;01-01-1986;MAYO;IX;0
1986;01-01-1986;MAYO;XIV;0
1986;01-01-1986;MAYO;X;0
